Price,price,rolling_30,rolling_90,returns
Ticker,ZAR=X,,,
Date,,,,
2014-01-01,10.350000381469727,,,
2014-01-02,10.472599983215332,,,0.011845371712749353
2014-01-03,10.67389965057373,,,0.019221556030119213
2014-01-06,10.65779972076416,,,-0.0015083456221836045
2014-01-07,10.627699851989746,,,-0.002824210396426552
2014-01-08,10.634599685668945,,,0.0006492311389381111
2014-01-09,10.758299827575684,,,0.011631856916385352
2014-01-10,10.78950023651123,,,0.0029001245025328526
2014-01-14,10.8016996383667,,,0.0011306734870060176
2014-01-15,10.82040023803711,,,0.0017312645506255553
2014-01-16,10.871800422668457,,,0.004750303454641225
2014-01-17,10.88129997253418,,,0.0008737789047263966
2014-01-20,10.874699592590332,,,-0.0006065800924988096
2014-01-21,10.842900276184082,,,-0.00292415584775485
2014-01-22,10.828700065612793,,,-0.0013096321288206259
2014-01-23,10.863300323486328,,,0.0031952365162841723
2014-01-24,10.987600326538086,,,0.011442195221559093
2014-01-27,11.12720012664795,,,0.012705212781783715
2014-01-28,11.108099937438965,,,-0.0017165314716720559
2014-01-29,10.940999984741211,,,-0.01504307250014536
2014-01-30,11.287529945373535,,,0.03167260406869654
2014-01-31,11.178739547729492,,,-0.009638104897221833
2014-02-03,11.114700317382812,,,-0.005728662884867619
2014-02-04,11.244799613952637,,,0.01170515559167673
2014-02-05,11.083800315856934,,,-0.014317667154862712
2014-02-06,11.116000175476074,,,0.0029051280879783814
2014-02-07,11.031900405883789,,,-0.007565650257709167
2014-02-10,11.058600425720215,,,0.002420255699751017
2014-02-11,11.116999626159668,,,0.005280885301147897
2014-02-12,10.96360969543457,10.903659343719482,,-0.013797781405349041
2014-02-13,10.996319770812988,10.925203323364258,,0.002983513303290941
2014-02-14,10.979399681091309,10.94209664662679,,-0.0015387047734451986
2014-02-17,10.848199844360352,10.947906653086344,,-0.011949636641510497
2014-02-18,10.824799537658691,10.953473313649495,,-0.0021570681806553083
2014-02-19,10.868769645690918,10.961508973439534,,0.00406197896591598
2014-02-20,11.035200119018555,10.974862321217854,,0.015312724324194393
2014-02-21,10.99862003326416,10.982872994740804,,-0.0033148547701776776
2014-02-24,10.935099601745605,10.987726306915283,,-0.005775309204831491
2014-02-25,10.798399925231934,10.987616316477459,,-0.012500999670076118
